cidade;ano;tópico;dado
Caçapava;2019;atenção básica; 816.931 
Caçapava;2019;média complexidade; 300.025 
Caçapava;2020;atenção básica; 103.374 
Caçapava;2020;média complexidade; 186.173 
Caçapava;2021;atenção básica; 37.004 
Caçapava;2021;média complexidade; 239.861 
Caçapava;2022;atenção básica; 32.309 
Caçapava;2022;média complexidade; 289.208 
São josé dos campos;2019;atenção básica; 2.104.836 
São josé dos campos;2019;média complexidade; 3.480.738 
São josé dos campos;2019;alta complexidade; 3.482 
São josé dos campos;2020;atenção básica; 1.864.874 
São josé dos campos;2020;média complexidade; 2.850.383 
São josé dos campos;2020;alta complexidade; 2.810 
São josé dos campos;2021;atenção básica; 2.197.883 
São josé dos campos;2021;média complexidade; 3.702.915 
São josé dos campos;2021;alta complexidade; 2.370 
São josé dos campos;2022;atenção básica; 1.932.867 
São josé dos campos;2022;média complexidade; 4.188.664 
São josé dos campos;2022;alta complexidade; 2.589 
Jacareí;2019;atenção básica; 129.328 
Jacareí;2019;média complexidade; 982.960 
Jacareí;2020;atenção básica; 84.537 
Jacareí;2020;média complexidade; 658.223 
Jacareí;2021;atenção básica; 219.730 
Jacareí;2021;média complexidade; 901.621 
Jacareí;2022;atenção básica; 184.203 
Jacareí;2022;média complexidade; 1.057.554 
Taubaté;2019;atenção básica; 1.319.165 
Taubaté;2019;média complexidade; 1.889.552 
Taubaté;2019;alta complexidade; 1.212 
Taubaté;2020;atenção básica; 861.652 
Taubaté;2020;média complexidade; 1.249.638 
Taubaté;2020;alta complexidade; 1.034 
Taubaté;2021;atenção básica; 421.308 
Taubaté;2021;média complexidade; 1.229.143 
Taubaté;2021;alta complexidade; 1.143 
Taubaté;2022;atenção básica; 413.669 
Taubaté;2022;média complexidade; 1.947.723 
Taubaté;2022;alta complexidade; 1.192 
