cidade;tópico;ano;valor
Caçapava;geral;2020;R$ 6.058.030,64
Caçapava;geral;2021;R$ 2.104.925,01
Caçapava;geral;2022;R$ 106.704,67
Caçapava;geral;total;R$ 8.269.660,32
Caçapava;atendimento em clinicas;2020;R$ 27.685,00
Caçapava;atendimento em clinicas;2021;R$ 66.767,04
Caçapava;atendimento em clinicas;2022;R$ 71.405,00
Caçapava;atendimento em clinicas;total;R$ 165.857,04
Caçapava;prevenção de doenças;2020;R$ 423.981,73
Caçapava;prevenção de doenças;2021;não encontrado
Caçapava;prevenção de doenças;2022;não encontrado
Caçapava;prevenção de doenças;total;R$ 423.981,73
Jacareí;geral;2020;R$ 45.377.854,41
Jacareí;geral;2021;R$ 38.497.254,71
Jacareí;geral;2022;R$ 2.520.866,05
Jacareí;geral;total;R$ 86.395.975,17
São josé dos campos;geral;2020;R$ 96.885.246,38
São josé dos campos;geral;2021;R$ 100.256.944,20
São josé dos campos;geral;2022;R$ 51.625.025,30
São josé dos campos;geral;total;R$ 248.767.215,88
São josé dos campos;hospital das clínicas;2020;R$ 4.480.492,38
São josé dos campos;hospital das clínicas;2021;R$ 11.185.214,29
São josé dos campos;hospital das clínicas;2022;R$ 10.866.635,18
São josé dos campos;hospital das clínicas;total;R$ 26.532.341,85
São josé dos campos;hospital municipal;2020;R$ 37.435.389,15
São josé dos campos;hospital municipal;2021;R$ 63.560.177,73
São josé dos campos;hospital municipal;2022;R$ 36.678.694,79
São josé dos campos;hospital municipal;total;R$ 137.674.261,67
São josé dos campos;rede de atenção básica;2020;R$ 2.133.410,89
São josé dos campos;rede de atenção básica;2021;R$ 1.261.844,41
São josé dos campos;rede de atenção básica;2022;R$ 477.784,46
São josé dos campos;rede de atenção básica;total;R$ 3.873.039,76
São josé dos campos;unidades de atenção secundária;2020;R$ 8.287.174,34
São josé dos campos;unidades de atenção secundária;2021;R$ 7.980.514,27
São josé dos campos;unidades de atenção secundária;2022;R$ 939.027,53
São josé dos campos;unidades de atenção secundária;total;R$ 17.206.716,14
Taubaté;geral;2020;R$ 33.041.289,54
Taubaté;geral;2021;R$ 43.015.709,66
Taubaté;geral;2022;R$ 6.095.737,08
Taubaté;geral;total;R$ 82.152.736,28
