cidade;ano;1;2;3;4;5;6;7;8;total
Caçapava;2019; 372 ; 122.512 ; 68.470 ; 22.747 ; 1.591 ; 1.124.207 ; 10.718 ; 53.175 ; 1.403.792 
Caçapava;2020; 741 ; 238.987 ; 133.790 ; 44.428 ; 3.104 ; 2.178.098 ; 20.846 ; 104.531 ; 2.724.525 
Caçapava;2021; 1.434 ; 471.837 ; 264.152 ; 87.536 ; 6.128 ; 4.287.921 ; 41.024 ; 206.434 ; 5.366.466 
Caçapava;2022; 2.851 ; 936.607 ; 524.672 ; 173.923 ; 12.163 ; 8.509.689 ; 81.298 ; 410.330 ; 10.651.533 
Jacareí;2019; 252 ; 415.080 ; 975.387 ; 14.418 ; 5.283 ; 3.278.263 ; 37.341 ; 316 ; 4.726.340 
Jacareí;2020; 503 ; 815.669 ; 1.922.592 ; 28.115 ; 10.432 ; 6.378.976 ; 72.944 ; 576 ; 9.229.807 
Jacareí;2021; 1.003 ; 1.613.761 ; 3.811.367 ; 55.349 ; 20.701 ; 12.579.045 ; 144.113 ; 1.152 ; 18.226.491 
Jacareí;2022; 2.002 ; 3.210.386 ; 7.580.237 ; 109.893 ; 41.189 ; 24.969.405 ; 286.555 ; 2.301 ; 36.201.968 
São José dos Campos;2019; 2.826 ; 1.127.109 ; 526.244 ; 46.208 ; 15.566 ; 8.846.773 ; 97.111 ; 45.369 ; 10.707.206 
São José dos Campos;2020; 5.652 ; 2.204.616 ; 1.034.246 ; 89.943 ; 30.657 ; 17.234.145 ; 190.662 ; 89.630 ; 20.879.551 
São José dos Campos;2021; 11.304 ; 4.346.076 ; 2.046.227 ; 177.503 ; 60.875 ; 34.003.248 ; 376.042 ; 177.838 ; 41.199.113 
São José dos Campos;2022; 22.608 ; 8.635.897 ; 4.070.384 ; 352.418 ; 120.805 ; 67.513.998 ; 747.085 ; 353.984 ; 81.817.179 
Taubaté;2019; 5.906 ; 262.238 ; 197.449 ; 22.559 ; 6.541 ; 3.484.154 ; 45.513 ; - ; 4.024.360 
Taubaté;2020; 11.810 ; 516.242 ; 388.813 ; 43.457 ; 12.719 ; 6.788.893 ; 88.849 ; 264 ; 7.851.047 
Taubaté;2021; 23.620 ; 1.019.917 ; 770.883 ; 85.984 ; 25.120 ; 13.408.879 ; 175.474 ; 524 ; 15.510.401 
Taubaté;2022; 47.239 ; 2.026.245 ; 1.534.205 ; 170.634 ; 49.943 ; 26.624.170 ; 348.846 ; 1.024 ; 30.802.306 
