cidade;ano;1;2;3;4;5;6;7;8;total
Caçapava;2019;372,00;122512,00;68470,00;22747,00;1591,00;1124207,00;10718,00;53175,00;1403792,00
Caçapava;2020;741,00;238987,00;133790,00;44428,00;3104,00;2178098,00;20846,00;104531,00;2724525,00
Caçapava;2021;1434,00;471837,00;264152,00;87536,00;6128,00;4287921,00;41024,00;206434,00;5366466,00
Caçapava;2022;2851,00;936607,00;524672,00;173923,00;12163,00;8509689,00;81298,00;410330,00;10651533,00
Jacareí;2019;252,00;415080,00;975387,00;14418,00;5283,00;3278263,00;37341,00;316,00;4726340,00
Jacareí;2020;503,00;815669,00;1922592,00;28115,00;10432,00;6378976,00;72944,00;576,00;9229807,00
Jacareí;2021;1003,00;1613761,00;3811367,00;55349,00;20701,00;12579045,00;144113,00;1152,00;18226491,00
Jacareí;2022;2002,00;3210386,00;7580237,00;109893,00;41189,00;24969405,00;286555,00;2301,00;36201968,00
São José dos Campos;2019;2826,00;1127109,00;526244,00;46208,00;15566,00;8846773,00;97111,00;45369,00;10707206,00
São José dos Campos;2020;5652,00;2204616,00;1034246,00;89943,00;30657,00;17234145,00;190662,00;89630,00;20879551,00
São José dos Campos;2021;11304,00;4346076,00;2046227,00;177503,00;60875,00;34003248,00;376042,00;177838,00;41199113,00
São José dos Campos;2022;22608,00;8635897,00;4070384,00;352418,00;120805,00;67513998,00;747085,00;353984,00;81817179,00
Taubaté;2019;5906,00;262238,00;197449,00;22559,00;6541,00;3484154,00;45513,00; - ;4024360,00
Taubaté;2020;11810,00;516242,00;388813,00;43457,00;12719,00;6788893,00;88849,00;264,00;7851047,00
Taubaté;2021;23620,00;1019917,00;770883,00;85984,00;25120,00;13408879,00;175474,00;524,00;15510401,00
Taubaté;2022;47239,00;2026245,00;1534205,00;170634,00;49943,00;26624170,00;348846,00;1024,00;30802306,00
