cidade;ano;primeira dose;segunda dose;primeira reforço;segunda reforço;terceira reforço;dose única;dose adicional
Caçapava;2021; 77.814 ; 71.754 ; 20.022 ; 7 ; - ; 2.464 ; 122 
Caçapava;2022; 10.983 ; 10.318 ; 36.560 ; 27.141 ; 126 ; 557 ; 167 
Caçapava;total; 88.797 ; 82.072 ; 56.582 ; 27.148 ; 126 ; 3.021 ; 289 
Jacareí;2021; 189.527 ; 177.249 ; 51.011 ; 211 ; - ; 5.777 ; 33 
Jacareí;2022; 23.241 ; 22.844 ; 91.596 ; 55.849 ; 375 ; 282 ; 152 
Jacareí;total; 212.768 ; 200.093 ; 142.607 ; 56.060 ; 375 ; 6.059 ; 185 
São josé dos campos;2021; 590.604 ; 542.798 ; 150.099 ; 593 ; - ; 16.723 ; 921 
São josé dos campos;2022; 65.742 ; 65.424 ; 264.291 ; 198.859 ; 1.510 ; 1.922 ; 878 
São josé dos campos;total; 656.346 ; 608.222 ; 414.390 ; 199.452 ; 1.510 ; 18.645 ; 1.799 
Taubaté;2021; 254.219 ; 240.007 ; 60.933 ; 54 ; 2 ; 8.572 ; 794 
Taubaté;2022; 26.654 ; 24.742 ; 117.233 ; 84.732 ; 256 ; 599 ; 908 
Taubaté;total; 280.873 ; 264.749 ; 178.166 ; 84.786 ; 258 ; 9.171 ; 1.702 
