cidade;ano;primeira dose;segunda dose;primeira reforço;segunda reforço;terceira reforço;dose única;dose adicional
Caçapava;2021;77814,00;71754,00;20022,00;7,00; - ;2464,00;122,00
Caçapava;2022;10983,00;10318,00;36560,00;27141,00;126,00;557,00;167,00
Caçapava;total;88797,00;82072,00;56582,00;27148,00;126,00;3021,00;289,00
Jacareí;2021;189527,00;177249,00;51011,00;211,00; - ;5777,00;33,00
Jacareí;2022;23241,00;22844,00;91596,00;55849,00;375,00;282,00;152,00
Jacareí;total;212768,00;200093,00;142607,00;56060,00;375,00;6059,00;185,00
São josé dos campos;2021;590604,00;542798,00;150099,00;593,00; - ;16723,00;921,00
São josé dos campos;2022;65742,00;65424,00;264291,00;198859,00;1510,00;1922,00;878,00
São josé dos campos;total;656346,00;608222,00;414390,00;199452,00;1510,00;18645,00;1799,00
Taubaté;2021;254219,00;240007,00;60933,00;54,00;2,00;8572,00;794,00
Taubaté;2022;26654,00;24742,00;117233,00;84732,00;256,00;599,00;908,00
Taubaté;total;280873,00;264749,00;178166,00;84786,00;258,00;9171,00;1702,00
